slam dunk;/ˈslæm dʌŋk/;n. 扣篮;the act of jumping up and putting the ball through the net with a lot of force;The basketball player did a perfect slam dunk.,那个篮球运动员完成了一次完美的扣篮。
ornamental;/ˌɔːrnəˈmentl/;adj. 装饰性的;used to make something more attractive :used for decoration;The wall was decorated with an ornamental design.,墙上有装饰性的图案。
lamentable;/ˈlæməntəbl/;adj. 可悲的，可怜的，哀伤的;deserving to be criticized or regretted;Even though it's a lamentable situation, crying over it still won't help.,虽然这是一个可悲的处境，为此哭泣还是没有用。
seamount;/'siːˌmaʊnt/;n. 海底山;mount under sea;The coral seamount almost reaches the surface of the sea.,珊瑚海底山几乎快触及海面。
ammunition;/ˌæmjuˈnɪʃn/;n. 弹药;the objects (such as bullets and shells) that are shot from weapons;This gun is useless without ammunition.,没有弹药，这枪就没有任何用处。
bicameral;/ˌbaɪˈkæmərəl/;adj. 两院制的;;The US has a bicameral system where laws are approved by House and Senate.,美国是两院制的，在这里法律的通过必须经过众议院和参议院的许可。
dynamics;/daɪ'næmɪks/;n. 动力学，力学;The branch of mechanics that is concerned with the effects of forces on the motion of a body or system of bodies, especially of forces that do not originate within the system itself;He has made a great contribution to the field of dynamics.,他（牛顿）在力学领域做出了巨大贡献。
gleam;/ɡliːm/;vi. 闪烁；  vt. 使发出微光；  n. 闪光；微光；闪现;to shine brightly;The golden coins gleam in the light.,金币闪闪发光。
foam;/foʊm/;n. 泡沫，泡沫体，泡沫塑料；  vi. 起泡沫，吐白沫；  vt. 使起泡沫;a mass of small bubbles that are formed in or on a liquid;I like my beer with a little foam on top.,我喜欢有点泡沫的啤酒。
samurai;/ˈsæmuraɪ/;n. （日本）武士阶层，陆军军官，军阀;a member of a Japanese military class in the past;In medieval Japan, wars were fought between professional armies of samurai warriors.,在中世纪的日本，战争都是在由武士组成的专业军队之间展开。
swamp;/swɑːmp/;n. 沼泽；  v. 淹没，浸没，使困惑，压倒;land that is always wet and often partly covered with water;Crocodiles often live in swamps.,鳄鱼通常生活在沼泽里。
grammar;/ˈɡræmər/;n. 语法，语法书;the set of rules that explain how words are used in a language;The English teacher is teaching grammar now.,英语老师现在正在教语法。
rampage;/ˈræmpeɪdʒ/;n. 粗暴，胡闹;an occurrence of wild and usually destructive behavior;The gorilla is on the rampage; we need to stop him from destroying the city!,这猩猩发狂啦，我们要阻止它摧毁咱们的城市！
