play an important part in;/pleɪ ən ɪmˈpɔːrtnt  pɑːrt ɪn/;在…中起重要作用，对…有重要影响;be important;Our leader played an important part in the team.,他在我们团队中起着重要作用。
grant;/ɡrænt/;v. 许可，授予，承认，认为；  n. 答应，授予（物），给予，同意;to agree to give somebody what they ask for, especially formal or legal permission to do something;The Subway Committee grants the blind permission to bring guide dogs on board.,地铁委员会允许盲人携带导盲犬进入地铁。
take...for granted;/teɪk/ /fɔr/ /ˈɡræntəd/;以为……理所当然;;He took her love for granted, so she went and found a new boyfriend.,他不珍惜她的爱，所以她另找了一个男友。
quantitative;/ˈkwɑːntəteɪtɪv/;adj. 定量的;connected with the amount or number of something rather than with how good it is;Our quantitative analysis shows that profits are indeed going up.,我们的定量分析显示利润的确在增长。
anthropologist;/ˌænθrəˈpɑːlədʒɪst/;n. 人类学家，人类学者;a social scientist who specializes in anthropology;Anthropologists study how different people live around the world.,人类学家研究世界各国人民生活的差异。
antennae;/æn'teniː/;n. 天线，【动】触须，触角，直觉;a piece of equipment made of wire or long straight pieces of metal for receiving or sending radio and television signals.;We installed a new antennae to better receive signal.,为了更好的接收信号，我们安装了一个新天线。
tolerant;/ˈtɑːlərənt/;adj. 容忍的，宽容的;willing to accept feelings, habits, or beliefs that are different from your own;One should be tolerant of all cultural differences.,人应该包容所有的文化差异。
implant;/ɪmˈplænt/;v. 嵌入，注入，灌输；  n. 【医】植入物，植入管;to put (something) in a specified place;We can implant an artificial tooth in your jaw to replace the missing one..,我们可以植入人造假牙来代替你缺掉的牙齿。
misanthrope;/ˈmɪsənθroʊp/;n. 愤世嫉俗者，厌恶人类的人;a person who does not like other people;The misanthrope didn't care about who he hurt.,这个厌恶人类的人不在乎会伤害谁。
fragrant;/ˈfreɪɡrənt/;adj. 芬芳的；香的;having a pleasant and usually sweet smell;I love this perfume's fragrant smell.,我喜欢这瓶香水的香味。
shop assistant;;n. （英）售货员;an employee in a shop;The shop assistant sells vegetables to the woman.,售货员在卖蔬菜给这位女顾客。
dominant;/ˈdɑːmɪnənt/;adj. 主要的，占优势的，支配的，统治的;more important, powerful, or successful than most or all others;Sherlock takes the dominant position in their relationship.,卷福在他们俩的关系中处于主导地位。
Santa;/ˈsæntə/;n. 圣诞老人;the legendary patron saint of children;Santa will bring gifts for you this Christmas.,圣诞老人会在今年圣诞为你带来礼物。
sergeant;/ˈsɑːrdʒənt/;n. 士官，中士，警官;an officer of low rank in the army or marines;Since I was such a good soldier, they promoted me to sergeant.,因为我是个好士兵，所以他们提拔我为中士。
praying mantis;/ˌpreɪɪŋ ˈmæntɪs/;n. 螳螂;;Look mum, we made a praying mantis out of a spring onion.,老妈看啦，偶们用小葱做了一个螳螂唉。
flamboyant;/flæmˈbɔɪənt/;adj. 辉耀的，华丽的，艳丽的，火焰似的;having a very noticeable quality that attracts a lot of attention;A good carnival dress has to be flamboyant.,一个好的狂欢节衣服应该是很耀眼的。
anthropology;/ˌænθrəˈpɑːlədʒi/;n. 人类学;the study of human races, origins, societies, and cultures;Anthropology is the study of cultures radically different from our own.,人类学是一门研究与我们本身文化完全不同的学科。
eggplant;/ˈeɡplænt/;n. 茄子，黑紫色;a somewhat egg-shaped vegetable with usually purple skin;I have no idea how to cook eggplant, but I like to eat them.,我完全不知道如何烹饪茄子，但是我喜欢吃它们。
emigrant;/ˈemɪɡrənt/;n. 移民，侨民；  adj. 移民的，移居的;a person who leaves a country or region to live in another one :a person who emigrates;My grandfather was a German emigrant who came to America after the war. ,我的祖父是个德国移民，在战后来到了美国。
tyrant;/ˈtaɪrənt/;n. 暴君;a ruler who has complete power over a country and who is cruel and unfair;He likes to boss everyone around, so we call him the little tyrant.,他喜欢随意指使大家，所以我们叫他小暴君！
adulterant;/ə'dʌltərənt/;n. 混淆品，搀杂物；  adj. 搀杂用的;to make food or drink less pure by adding another substance to it;Companies are known to illegally add some adulterants into milk powder.,有的商家据说会非法把一些混淆品添加到奶粉中。
participant;/pɑːrˈtɪsɪpənt/;n. 参加者，参与者;a person who is involved in an activity or event :a person who participates in an activity or event;Before the race began all of the participants lined up at the starting line.,比赛开始前，所有的参赛者都在起跑线上排成一排。
anthology;/ænˈθɑːlədʒi/;n. （诗、文、曲、画等的）选集;a published collection of writings (such as poems or short stories) by different authors;The anthology collects many famous poems written by different poets.,这部选集收集了很多诗人的著名诗歌。
extravagant;/ɪkˈstrævəɡənt/;adj. 奢侈的，无节制的;very expensive and not necessary; I live an extravagant life! I buy what I like!,哥过着奢侈的生活！想买啥我就买啥！
pant;/pænt/;v. 喘息；气喘吁吁地说；  n. 喘气;to breathe hard and quickly;Dogs pant with their mouths when they are tired.,狗累了的时候会用嘴喘着气。
philanthropist;/fɪˈlænθrəpɪst/;n. 慈善家，博爱的人，博爱主义者;a rich person who helps the poor and those in need, especially by giving money.;Bill Gates is a great philanthropist who contributes a lot to global health care.,比尔盖茨是一位为全球卫生事业贡献巨大的慈善家。
flight attendant;;空中服务员;flight attendant=a person whose job is to serve and take care of passengers on an aircraft.;I'm a flight attendant, which means I work on airplanes.,我是一名空中服务员，这意味着我在飞机上工作。
pants;/pænts/;n. 裤子，短裤;a piece of clothing that covers your body from the waist to the ankle and has a separate part for each leg;I bought several new pairs of pants.,我买了几条新裤子。
antiquated;/ˈæntɪkweɪtɪd/;adj. 陈旧的，过时的;very old and no longer useful, popular, or accepted :very old-fashioned or obsolete;Is this antiquated telephone still usable?,这个古董电话还能用吗？
chant;/tʃænt/;v. 吟唱；诵扬；  n. 圣歌；赞美诗；旋律;to say (a word or phrase) many times in a rhythmic way usually loudly and with other people;We stand together and chant "Hallelujah" over and over.,我们站在一起，反复咏唱“哈利路亚”。
anticipate;/ænˈtɪsɪpeɪt/;v. 预测，期待，提早（做），预支;to think of (something that will or might happen in the future);I anticipate him winning the first prize as he is really great!,我预测他能得第一名！因为他真的很棒！
misanthropic;/ˌmɪsənˈθrɑːpɪk/;adj. 厌恶人类的，不愿与人来往的;believing the worst of human nature and motives; having a sneering disbelief in e.g. selflessness of others;He was a misanthropic mass of hatred just looking for someone to punch.,他是一个充满仇恨的厌世者，只想找人来揍。
transplant;/trænsˈplænt/;n. 移种，移植；  v. 移植（器官），使移居，移种（植物等）;to remove (a plant) from the ground or from a pot and move it to another place;The gardener transplants the plants to another garden.,花匠将植物移种到另一个花园中。
antecedent;/ˌæntɪˈsiːdnt/;adj. 先行的，先驱的；  n. 祖先，前情;the people in a family who lived in past times;Humanity's antecedents looked more like monkeys than people.,人类的祖先看上去更像猴子，而不是人类。
disenchant;/ˌdɪsɪn'tʃænt/;v. 使觉悟，使摆脱幻想;free from enchantment;Their relationship used to be magic, but now they were disenchanted.,以前他们的关系像魔法般不可思议，但现在他们觉悟了。
finance assistant;;财务助理；会计助理;;As a finance assistant, my job is to review and organize my company's financial reports.,作为财务助理，我的工作是审查和整理公司的财务报告。
wanted;/'wɑːntɪd/;adj. 受到通缉的;being searched for by the police, in connection with a crime;This cowboy is a wanted man; contact the police at once if you have any information.,这位牛仔是通缉犯，如果你有任何消息，立刻联系警方。
antigen;/ˈæntɪdʒən/;n. 【免疫】抗原;a harmful substance that causes the body to produce antibodies;White blood cells protect the body from dangerous antigens.,白细胞帮助身体抵抗危险抗原。
pageant;/ˈpædʒənt/;n. 盛会，历史剧，选美;a play or performance made of scenes from a historical event or a legend;I only came in second place in the beauty pageant.,我在选美比赛中只获第二。
lantern;/ˈlæntərn/;n. 灯笼，提灯;a light that has usually a glass covering and that can be carried by a handle;The lantern kept burning throughout the night.,灯笼亮了一整晚。
aberrant;/æˈberənt/;n. 离开正路的人，反常的人；  adj. 偏离常规的，异常的，畸变的;different from the usual or natural type :unusual or abnormal;John's smile was described as aberrant.,约翰的微笑被说成是有点反常。
hydrant;/ˈhaɪdrənt/;n. 消防栓，消防龙头; a discharge pipe with a valve and spout at which water may be drawn from the mains of waterworks;Why do they always paint fire hydrants red?,为什么你们总是把消防栓涂成红色呢？
competitive advantage;;竞争优势;;The competitive advantage of this handbag is that it's much cheaper.,这个手提包的竞争优势是：它要便宜的多。
mutant;/ˈmjuːtənt/;n. 突变体，突变异种；  adj. 突变的;a plant or animal that is different from other plants or animals of the same kind because of a change in the structure of its genes :something produced by genetic mutation;What the hell is this creature? Must be some kind of mutant!,那是什么鬼？肯定是什么突变异种。
vibrant;/ˈvaɪbrənt/;adj. 生气勃勃的，明快的，响亮的，振动的;having or showing great life, activity, and energy;The red color of these roses is extremely vibrant.,这些玫瑰红的很鲜艳。
luxuriant;/lʌɡˈʒʊriənt/;adj. 繁茂的，多产的，绚烂的，奢华的;having heavy and thick growth;The thick dense forest looks so luxuriant.,这片浓密的森林看上去相当繁茂。
stagnant;/ˈstæɡnənt/;adj. 不流动的，停滞的，萧条的;not flowing;The pond looks very stagnant and probably doesn't have fish.,这池塘里全是死水，应该没有鱼吧。
make redundant;;裁员;cut down unnecessary job positions;As company profits are decreasing, more and more employees will be made redundant.,随着公司利润下滑，越来越多员工将被裁员。
elegantly;/ˈelɪɡəntli/;adv. 优美地，雅致地;;Spies should be good-looking and elegantly dressed.,间谍应该外表出众且着装优雅。
fantastic;/fænˈtæstɪk/;adj. 极好的；极大的；不真实的；荒诞离奇的；不可思议的;extremely good; excellent;The moon looks fantastic tonight--look how huge it is!,今晚月亮看起来很美—看它有多大！
abundantly;/əˈbʌndəntli/;adv. 丰富地，大量地;present in large quantities;Sunflowers grow abundantly in that field. ,这块地长满了大量的向日葵。
want;/wɑːnt/;v. 想要，需要，短缺，缺少；  n. 短缺，必需品;to desire or wish for (something);This company wants a 20 year old with 10 years of work experience...,这家公司想招一个年龄20岁却有10年工作经验的人…
irritant;/ˈɪrɪtənt/;adj. 刺激的，刺激性的；  n. 【医】刺激物，刺激剂;something that makes part of your body sore and painful;A mosquito bite is an irritant that can make you itch.,蚊子叮咬是让你感到痒的刺激物。
plantation;/plænˈteɪʃn/;n. 种植园；农场；殖民地;a large area of land especially in a hot part of the world where crops (such as cotton) are grown;On our plantation, we grow carrots and potatoes.,在我们的种植园里，我们栽种胡萝卜和土豆。
pheasant;/ˈfeznt/;n. 野鸡，雉科鸟;a large bird that has a long tail and is often hunted for food or sport;I love to shoot innocent, stupid pheasants and call it 'hunting.',我喜欢猎捕笨笨的野鸡，把这当作打猎。
observant;/əbˈzɜːrvənt/;adj. 善于观察的，机警的，严格遵守的;good at watching and listening :good at noticing what is going on around you;The observant cat noticed a movement - could it be a mouse's tail?,机警的猫注意到一个动静--那是老鼠的尾巴吗？
banter;/ˈbæntər/;n. 善意地取笑，逗弄；  v. 善意的与人开玩笑;talk in which people make jokes about each other in a friendly way;As friends, they always banter with each other.,作为朋友，他俩总是相互调笑。
errant;/ˈerənt/;adj. 错误的，脱离正途的，迷路的，周游的，漂泊的，无定的;behaving wrongly;The errant wild geese are flying to northern China for the winter.,这些脱离正途的大雁正飞向中国北方过冬。
resultant;/rɪˈzʌltənt/;adj. 作为结果的；因而发生的;coming from or caused by something else;I drove drunk. The resultant car crash was horrible.,我酒后驾车，结果是可怕的车祸。
lieutenant;/luːˈtenənt/;n. 中尉；副队长；助理官员;an officer in the army, navy, or air force with a fairly low rank;The lieutenant was speaking to the new recruit.,中尉在向新兵说话。
deviant;/ˈdiːviənt/;n. 异常的人；  adj. 越出常规的，反常的;different from what is considered to be normal or morally correct;My teenage daughter is becoming a deviant, covering her body in piercings and tattoos!,我处在青春期的女儿正在变成一个离经叛道的人，她浑身都是穿孔和纹身！
antelope;/ˈæntɪloʊp/;n. 羚羊，羚羊皮革;;African antelopes can run very fast if they have to.,在不得已的情况下，非洲羚羊能跑得非常快。
arrogant;/ˈærəɡənt/;adj. 傲慢的，妄自尊大的;having or showing the insulting attitude of people who believe that they are better, smarter, or more important than other people :having or showing arrogance;He's so arrogant--he thinks he's the best. ,他很傲慢嚣张。他自认为自己是天下第一。
Atlantic;/æt'læntɪk/;adj. 大西洋的；  n. 大西洋;atlantic ocean;The Atlantic Ocean lies between Europe and the North America.,大西洋位于欧洲和北美之间。
adamant;/ˈædəmənt/;adj. 强硬的，固执的；  n. 坚硬的东西，坚石;not willing to change an opinion or decision :very determined;The emperor is adamant that he will not resign.,该皇帝坚决不退位。
suppressant;/səˈpresnt/;n. 抑制药；  adj. 制止的，抑制性的，遏抑的;a drug that prevents or controls something;I'm taking an appetite suppressant to help me eat less and lose weight.,我在吃抑制食欲的药来帮助我少吃并减肥。
accountant;/əˈkaʊntənt/;n. 会计人员，会计师;someone whose job is to keep the financial records of a business or person;The accountant's main job is to figure out the bills.,会计的主要工作就是算账。
peasant;/ˈpeznt/;n. 农民;a farmer who owns or rents a small piece of land; The peasants are working on the farm land.,农民在地里劳作。	
antipode;/'æntɪˌpoʊd/;n. 恰恰相反的事物（of，to），相对极，对极;direct opposite;The north pole is the antipode of the south pole.,北极是南极的相对极。
plant;/plænt/;n. 植物，工厂，设备，发电厂；  v. 种植，安置;a living thing that grows in the ground, usually has leaves or flowers, and needs sun and water to survive;Each young plant needs about three centimeters of space when it first starts to grow.,在第一次开始生长时，每一株幼苗都需要大约3厘米的空间。
quantum;/ˈkwɑːntəm/;n. 量子;the smallest amount of many forms of energy (such as light);When an electron drops one orbit level, a quantum of energy is released.,当电子降低轨道的时候，量子能量就会被释放出来。
scanty;/ˈskænti/;adj. 少的，小的，缺乏的;very small in size or amount;I think for modesty's sake you should wear some less scanty underwear.,我认为出于端庄，你应该穿一些布料不是这么少的内裤。
advantageous;/ˌædvənˈteɪdʒəs/;adj. 有利的;good or useful in a particular situation;This is an advantageous arrangement for both of us.,这样的安排对我们双方都是有利的。
vigilant;/ˈvɪdʒɪlənt/;adj. 警戒的，警惕的;carefully noticing problems or signs of danger;The dogs are vigilant, always on the look out for intruders.,犬类很机警，总是留心着入侵者。
antipsychotic;/æntɪsaɪkɒtɪk/;adj. 抑制精神的；  n. 安定药;tranquilizer used to treat psychotic conditions when a calming effect is desired;He freaked out so badly they had to inject him with an antipsychotic drug.,他情绪太激动，他们只好给他注射安定药。
anti-smoking;/'æntiːsm'əʊkɪŋ/;反对吸烟;;Anti-smoking rules are becoming more common.,禁烟规矩正在变得更普遍。
repugnant;/rɪˈpʌɡnənt/;adj. 令人厌恶的;causing a strong feeling of dislike or disgust;I find you really repugnant - get away from me!,我发现你真的很讨人厌-离我远点！
quantities of;/ˈkwɑ:ntəties ʌv/;大量，众多;a large number of;The man was chased by quantities of bees.,这个人被许许多多的蜜蜂追着跑。
restaurant;/ˈrestrɑːnt/;n. 饭馆，餐馆;a place where you can buy and eat a meal;They are having dinner in the restaurant.,他们在餐厅吃晚餐。
vagrant;/ˈveɪɡrənt/;n. 游民；  adj. 漂泊的;a person who has no place to live and no job and who asks people for money;Vagrants sleep under bridges, or wherever they can.,游民睡在桥下，或者任何他们可以睡的地方。
