pay rise;/peɪ raɪz/;涨工资;pay increase;He is satisfied with the pay rise he got.,他对加薪感到很满意。
crises;/'kraɪsɪs/;n. 危机，紧要关头，危险期（crisis的复数形式）;plural of crisis;a difficult or dangerous situation that needs serious attention;After a series of crises, our company had to shut down.,经历一连串的危机后，我们的公司只能倒闭了。
expertise;/ˌekspɜːrˈtiːz/;n. 专门知识，专门技能;special skill or knowledge :the skill or knowledge an expert has;The doctor has expertise in medicine.,医生有很多医学方面的专业知识。
organiser;/'ɔːgənaɪzə/;n. 组织者;someone who enlists workers to join a union;The organiser planned a big event.,组织者在计划着大事件。
to one's surprise;;令某人吃惊的是;;To my surprise, he didn't forget about our anniversary after all.,令我吃惊的是，他完全没有忘记我们的周年日。
misery;/ˈmɪzəri/;n. 痛苦，悲惨，不幸;extreme suffering or unhappiness;Her misery is due to her mother's death.,她的痛苦都来自于母亲的过世。
practise;/ˈpræktɪs/;vi. 实践，练习，经常做，从事，利用，把知识用于实践；  vt. 实践，实习，惯常地进行;engage in a rehearsal (of);You had better practise for your big fight tomorrow!,你最好为明天的大决战练习。
commiserate;/kəˈmɪzəreɪt/;v. 同情，怜悯;to express sadness or sympathy for someone who has experienced something unpleasant;I commiserated with her when she didn't get the promotion.,当她没有得到提拔时，我很同情她。
arise;/əˈraɪz/;v. 起床，出现，由…引起，升起，发生;to get out of bed; to stand up;He arises at 7 AM every morning.,他每天早上7点起床。
mobilise;/'moʊbɪlɑɪz/;v. 动员;to bring (people) together for action;I need to mobilise my sales team to help promote our new product. ,我需要动员我的销售团队来促销新产品。
premises;/ˈpremɪsɪz/;n. （企业；机构等）房产；经营场所;premises=the building and land near to it that a business owns or uses.;This company owns three premises in three different places.,这个公司在三个不同的地方均有房产。
sympathise;/'sɪmpəˌθaɪz/;v. 同情，共鸣，吊唁（等于sympathize）;to feel sorry for someone who is in a bad situation : to feel sympathy for someone because you understand that person's problems;My aunt could sympathise with me when my dog died because her dog died too.,当我的狗死的时候，我的婶婶很同情我，因为她的狗也死了。
disenchant;/ˌdɪsɪn'tʃænt/;v. 使觉悟，使摆脱幻想;free from enchantment;Their relationship used to be magic, but now they were disenchanted.,以前他们的关系像魔法般不可思议，但现在他们觉悟了。
concise;/kənˈsaɪs/;adj. 简洁的；简要的;using few words; not including extra or unnecessary information;His word is always concise, which shows his unique attitude.,他说话总是很简洁，显示了他独特的态度。
rise to one's feet;;站起身;;Over time he was able to rise to his feet.,假以时日之后，他能够站起身了。
miserly;/ˈmaɪzərli/;adj. 贪财的，吝啬的;hating to spend money;He's so miserly that he won't even buy his own newspaper! He just reads somebody else's!,他简直太小气了！连报纸都不愿意买，只会看别人的。
exorcise;/ˈeksɔːrsaɪz/;v. 驱邪，除怪;to force (an evil spirit) to leave;You're such a creep - let me exorcise the evil in you!,你真让人害怕，让我将你体内的恶魔驱走！
precise;/prɪˈsaɪs/;adj. 精确的；恰好的;very accurate and exact;This instrument gives precise measurements.,这台仪器显示出精确的测量结果。
improviser;/'ɪmprəˌvaɪzə/;n. 即兴（诗人，表演者等），临时凑成;belong with feelings;He's a good improviser, so he can always make up new songs when he plays.,他是个很好的即兴创作者，所以他总是能在表演现场作出新歌。
tortoise;/ˈtɔːrtəs/;n. 龟;a kind of turtle that lives on land;The tortoise is slowly crossing the field.,乌龟慢慢地在地上爬。
disease;/dɪˈziːz/;n. 疾病;an illness that affects a person, animal, or plant; a condition that prevents the body or mind from working normally;There is a disease spreading around the office.,有一种病在办公室蔓延。
surprised;/sərˈpraɪzd/;adj. 感到惊讶的，惊喜的;;Jenna was very surprised!,珍娜感到很惊喜！
likewise;/ˈlaɪkwaɪz/;adv. 同样地，此外;in the same or similar way;The big man hates the small man; likewise, the small man hates the big man.,这个大个子讨厌这个小个子。同样地，这个小个子也讨厌这个大个子。
revise;/rɪˈvaɪz/;v. 修证，校订，校正，温习（功课）;to make changes especially to correct or improve (something);Please revise your paper - it needs some corrections and improvements.,请修改你的论文，它有很多需要改进的地方。
fertiliser;/'fɜːtɪlaɪzə/;n. 肥料;one that fertilizes; specifically : a substance (as manure or a chemical mixture) used to make soil more fertile;How much fertiliser does a large corn farm need?,一个大的玉米农场需要多少肥料？
be hospitalised;;住院;be admitted into a hospital.;Due to the heart attack, I am hospitalised.,因为心脏病，我住院了。
raise;/reɪz/;v. 举起，养殖，养育，筹集（资金）；  n. 加薪，提高;to lift or move (something or someone) to a higher position;The kitten raises his friend up to steal the fish.,这只小猫咪把朋友举起来偷鱼。
enterprise;/ˈentərpraɪz/;n. 企业（或事业）单位，公司，事业，进取心;a business organization;Our company will be one of the top 500 global enterprises.,我们公司将会成为世界500强企业之一。
cruise;/kruːz/;n. 巡航；漫游；  v. 航游；巡航；（出租车、船等）缓慢巡行;a journey on a boat or ship to a number of places as a vacation;It's so nice to travel on a cruise ship!,乘游艇旅游太棒了！
advertiser;/ˈædvərtaɪzər/;n. 广告客户，刊登广告的人;;He is an affective advertiser.,他是一个有感情的广告人。
specialise;/'speʃəlˌaɪz/;vi. 专门从事，专攻；  vt. 使专门化;to limit your business or area of study to one specific subject;We specialise in studying the characteristics of different plants.   ,我们专门研究不同植物的特性。
specialise in;;v. 专门从事，专门研究;devote oneself to a special area of work;This chef specialises in making dessert.,这位大厨专门从事制作甜品。
disequilibrium;/ˌdɪsˌiːkwɪ'lɪbriəm/;n. 不平衡，失调;a loss or lack of balance in a situation.;There is a serious disequilibrium evident in China's population distribution.,中国人口的分布明显存在着严重的不平衡。
rise to the occasion;;v. 应付自如;be equal to the occasion;The game was hard, but the boy rose to the occasion and won the game.,那场比赛很困难，但那个男孩应对自如并且赢了比赛。
civilise;/'sɪvəˌlaɪz/;vt. （=civilize）文明化，教化;to teach (a person or group of people) to behave in a way that you think is more polite and gentle;"We'll need to civilise these dirty savages!" said the imperialist European.,欧洲帝国主义者说“我们需要教化这群恶劣的野蛮人。”
poise;/pɔɪz/;v. 使相等，使平衡；  n. 泰然自若，信心;a calm, confident manner;We were all impressed by her poise and confidence.,她的镇定、自信给我们留下了深刻的印象。
liaise;/li'eɪz/;v. 保持连络;to work closely with sb and exchange information with them.;It's important to liaise with the control center during the flight.,在飞行过程中保持和塔台的联络十分重要。
