slam dunk;/ˈslæm dʌŋk/;n. 扣篮;the act of jumping up and putting the ball through the net with a lot of force;The basketball player did a perfect slam dunk.,那个篮球运动员完成了一次完美的扣篮。
funk;/fʌŋk/;n. 恐慌，怯懦，早期爵士乐;a condition in which you are unable to think or behave normally because you are sad, depressed, etc.;Funk combines elements of jazz, blues and soul; people just love dancing to it.,疯克音乐包含了爵士、蓝调、灵魂乐的元素，大家很喜欢跟着它跳舞。
unkempt;/ˌʌnˈkempt/;adj. （衣服，头发）不整洁的，蓬乱的;not neat or orderly :messy or untidy;Your hair looks very unkempt this morning... Did you forget to brush it?,你头发看起来太乱了，你梳头了吗？
drunk;/drʌŋk/;adj. 喝醉了的，陶醉的，兴奋的；  n. 酗酒者，醉酒，狂欢;having drunk so much alcohol that normal actions (such as talking, thinking, and moving) become difficult to do;He was drunk last night and woke up with a headache.,他昨晚喝醉了，起来后他头疼。
debunk;/ˌdiːˈbʌŋk/;v. 揭穿真面目，证明为假;to show that something (such as a belief or theory) is not true :to show the falseness of (a story, idea, statement, etc.);They are trying to debunk the myth of Bigfoot.,他们试图揭穿北美野人的真相。
trunk library;/trʌŋk ˈlaɪbrəri/;箱子图书馆;delivering health Information through a compact library called-Blue Trunk Library to be distributed to rural and distant areas;With the trunk library, people in remote areas can also read books.,有了箱子图书馆，偏远地区的人民看书也方便了。
hunk;/hʌŋk/;n. 大块，有魅力的健壮男子;an attractive man;Ooh, what a hunk! Look at those muscles!,噢，真是个肌肉男！看看那些肌肉！
sunken;/ˈsʌŋkən/;adj. 沉没的，凹陷的;completely covered with water :lying at the bottom of a sea, lake, etc.;The sunken ship lies at the bottom of the ocean. ,这艘沉船沉在了这片海的底部。
flunk;/flʌŋk/;v. 考试不及格；  n. 失败，不及格;to get a failing grade in (something, such as an examination or course);The child is so sad that he flunked the test.,考试不及格，这个小孩很沮丧。
junk;/dʒʌŋk/;n. 废旧物品，垃圾，假货；  v. 把…（当废物）丢弃;old things that have been thrown away or that have little value;I don't need any of this junk.,我不需要这里的任何破烂。
unknown;/ˌʌnˈnoʊn/;adj. 不知道的，未知的，不知名的;not known;It's unknown where the flying object came from.,这个不明飞行物不知是从哪儿来的。
trunk;/trʌŋk/;n. 象鼻，树干，（人）躯干，大衣箱，主体;the long, flexible nose of an elephant;The elephant raised his trunk in a salute.,大象举起鼻子表示敬礼。
chunk;/tʃʌŋk/;n. 大块；厚片；大量;a thick piece of something;I will just cook this big chunk of meat for dinner.,晚饭我只烹饪这一大块肉。
drunkard;/ˈdrʌŋkərd/;n. 醉汉，酒鬼;;This drunkard led a vivacious life.,那个酒鬼一向过着放浪形骸的生活。***
unkind;/ˌʌnˈkaɪnd/;adj. 无情的，不仁慈的，不厚道的，不和善的;not friendly, pleasant, helpful, etc. :not kind;I don't understand why my boss is so unkind to me.,我不明白为什么我的老板对我如此不和善。
drunken;/ˈdrʌŋkən/;adj. 喝醉了的，醉后发生的，东倒西歪的;drunk or often becoming drunk;There was a drunken man who passed out on the floor.,地板上躺着一个醉得不省人事的男人。
bunk;/bʌŋk/;n. （火车等）床铺，铺位，卧铺，骗人的话，废话；  v. 睡（在床铺上），去睡;foolish or untrue words or ideas;If you want a top bunk in the train, you'd better book one as soon as you can.,如果你想要火车的上铺床位，你最好赶紧订票。
